# Parte A – EMG emulado extendido | 20260422_151228
# Fs=1000 Hz | Duracion=52 s | Repeticiones=11
# Tiempo[s]	Amplitud[V]
0.943000	0.022045
0.944000	0.037172
0.945000	0.018826
0.946000	0.016252
0.947000	0.016573
0.948000	-0.023336
0.949000	-0.048118
0.950000	-0.047153
0.951000	-0.073866
0.952000	-0.092212
0.953000	-0.082556
0.954000	-0.097039
0.955000	-0.106051
0.956000	-0.104442
0.957000	-0.091890
0.958000	-0.058096
0.959000	-0.057452
0.960000	-0.020117
0.961000	-0.001450
0.962000	-0.001450
0.963000	-0.002416
0.964000	-0.001772
0.965000	-0.003059
0.966000	-0.003381
0.967000	0.011424
0.968000	0.015286
0.969000	0.011424
0.970000	-0.001772
0.971000	-0.022692
0.972000	-0.010140
0.973000	0.029126
0.974000	0.060023
0.975000	0.068391
0.976000	0.086736
0.977000	0.112806
0.978000	0.112484
0.979000	0.149819
0.980000	0.204533
0.981000	0.205821
0.982000	0.279524
0.983000	0.387343
0.984000	0.390884
0.985000	0.575303
0.986000	0.736549
0.987000	0.533785
0.988000	0.270190
0.989000	-0.065176
0.990000	0.400217
0.991000	0.388309
0.992000	0.549555
0.993000	0.621006
0.994000	0.593970
0.995000	0.396999
0.996000	0.104760
0.997000	0.097036
0.998000	-0.111844
0.999000	-0.217411
1.000000	-0.217411
1.001000	-0.292080
1.002000	-0.317184
1.003000	-0.315575
1.004000	-0.319437
1.005000	-0.294976
1.006000	-0.287252
1.007000	-0.265366
1.008000	-0.219342
1.009000	-0.190054
1.010000	-0.182329
1.011000	-0.126649
1.012000	-0.032669
1.013000	-0.030095
1.014000	0.023332
1.015000	-0.008853
1.016000	-0.010462
1.017000	-0.039750
1.018000	-0.059061
1.019000	-0.058739
1.020000	-0.075154
1.021000	-0.056486
1.022000	-0.054233
1.023000	-0.041681
1.024000	-0.047796
1.025000	-0.021405
1.026000	0.003699
1.027000	-0.003059
1.028000	0.015286
1.029000	0.032666
1.030000	0.031057
1.031000	0.047471
1.032000	0.064207
1.033000	0.056161
1.034000	0.062920
1.035000	0.071931
1.036000	0.065816
1.037000	0.057770
1.038000	0.048758
1.039000	0.070644
1.040000	0.077403
1.041000	0.096714
1.042000	0.089311
1.043000	0.095748
1.044000	0.117956
1.045000	0.143704
1.046000	0.143704
1.047000	0.159796
1.048000	0.195843
1.049000	0.193590
1.050000	0.223522
1.051000	0.260857
1.052000	0.269225
1.053000	0.332629
1.054000	0.541509
1.055000	0.639673
1.056000	-0.128580
1.057000	-0.062923
1.058000	-0.030738
1.059000	0.061632
1.060000	0.114415
1.061000	0.129221
1.062000	0.125037
1.063000	0.131473
1.064000	0.110553
1.065000	0.108622
1.066000	0.118600
1.067000	0.144991
1.068000	0.148853
1.069000	0.164302
1.070000	0.148853
1.071000	0.168808
1.072000	0.179429
1.073000	0.191659
1.074000	0.189084
1.075000	0.200671
1.076000	0.230281
1.077000	0.230281
1.078000	0.274696
1.079000	0.304306
1.080000	0.314927
1.081000	0.315571
1.082000	0.293363
1.083000	0.278237
1.084000	0.285639
1.085000	0.255385
1.086000	0.242511
1.087000	0.250879
1.088000	0.221591
1.089000	0.204855
1.090000	0.198740
1.091000	0.169452
1.092000	0.191337
1.093000	0.190372
1.094000	0.198096
1.095000	0.210326
1.096000	0.197774
1.097000	0.207430
1.098000	0.223200
1.099000	0.226097
1.100000	0.256673
1.101000	0.277593
1.102000	0.306559
1.103000	0.325548
1.104000	0.373182
1.105000	0.363527
1.106000	0.373504
1.107000	0.404080
1.108000	0.367067
1.109000	0.359343
1.110000	0.291754
1.111000	0.204211
1.112000	0.197453
1.113000	0.142094
1.114000	-0.155616
1.115000	-0.213549
1.116000	-0.126971
1.117000	-0.033635
1.118000	-0.032669
